permno,secid,sp_beg,sp_end,lnk_beg,lnk_end
12570.0,105955.0,1957-03-01,2011-10-31,1996-01-01,2030-12-31
12622.0,146286.0,2015-01-27,2020-12-31,2011-03-10,2030-12-31
12623.0,146334.0,2018-01-03,2020-12-31,2011-03-31,2030-12-31
12650.0,106625.0,1999-04-05,2000-07-12,1996-01-01,2030-12-31
12650.0,106625.0,2013-05-24,2020-12-31,1996-01-01,2030-12-31
12749.0,106599.0,1957-03-01,2002-01-16,1996-01-02,2002-12-18
12872.0,148257.0,2011-07-01,2020-12-31,2011-07-01,2030-12-31
12981.0,149582.0,2016-06-24,2020-12-31,2011-10-04,2030-12-31
13035.0,150893.0,2011-11-01,2020-12-31,2011-11-01,2030-12-31
13056.0,101384.0,1989-10-05,2004-04-30,1996-01-01,2013-08-08
13100.0,107297.0,1944-06-07,2005-08-29,1996-01-01,2005-08-29
13103.0,151196.0,2012-12-24,2020-12-31,2011-11-17,2030-12-31
13119.0,107309.0,1960-12-14,2006-03-31,1996-01-02,2006-03-31
13141.0,151404.0,2012-01-03,2014-03-21,2012-01-03,2030-12-31
13142.0,151413.0,2013-11-13,2020-05-11,2011-12-15,2019-01-01
13168.0,151386.0,2011-12-21,2019-12-20,2011-12-21,2030-12-31
13356.0,152875.0,2012-05-01,2020-12-31,2012-05-01,2030-12-31
13407.0,154402.0,2013-12-23,2020-12-31,2012-05-18,2030-12-31
13447.0,154666.0,2019-11-21,2020-12-31,2012-07-02,2030-12-31
13567.0,155119.0,2012-10-01,2016-05-02,2012-10-01,2016-04-29
13586.0,108861.0,2012-10-01,2020-12-31,2012-10-01,2030-12-31
13598.0,155122.0,2012-10-02,2015-07-02,2012-10-02,2015-07-02
13641.0,155274.0,2018-12-03,2020-12-31,2012-10-12,2030-12-31
13688.0,108609.0,1925-12-31,2019-01-17,1996-01-01,2030-12-31
13721.0,160586.0,2013-01-02,2020-12-31,2013-01-02,2030-12-31
13760.0,161182.0,2017-10-13,2020-12-31,2013-01-18,2030-12-31
13788.0,161291.0,2013-06-24,2020-12-31,2013-02-01,2030-12-31
13821.0,108877.0,1940-04-15,2007-02-21,1996-01-02,2007-02-21
13856.0,108893.0,1957-03-01,2020-12-31,1996-01-02,2030-12-31
13901.0,108965.0,1957-03-01,2020-12-31,1996-01-02,2030-12-31
13911.0,166320.0,2017-08-29,2020-12-31,2013-05-09,2030-12-31
13928.0,108969.0,1957-03-01,2020-12-31,1996-01-02,2030-12-31
13936.0,108970.0,2013-02-14,2020-12-31,1996-01-02,2030-12-31
13949.0,166814.0,2019-09-23,2020-12-31,2013-06-27,2030-12-31
13963.0,166742.0,2013-07-01,2020-12-31,2013-07-01,2030-12-31
13964.0,166743.0,2015-09-21,2020-12-31,2013-07-01,2030-12-31
13983.0,166723.0,2016-10-03,2020-09-18,2013-06-13,2030-12-31
14008.0,101508.0,1992-01-02,2020-12-31,1996-01-01,2030-12-31
14011.0,166732.0,2014-08-19,2017-07-25,2013-07-01,2030-12-31
14277.0,109956.0,1965-03-04,2020-12-31,1996-01-02,2030-12-31
14295.0,189705.0,2018-06-07,2020-12-31,2013-11-07,2030-12-31
14297.0,189767.0,2013-12-02,2020-12-31,2013-12-02,2030-12-31
14322.0,110002.0,1925-12-31,2005-03-24,1996-01-02,2005-03-24
14323.0,101549.0,1984-11-23,2006-09-29,1996-01-02,2007-12-27
14338.0,189909.0,2017-06-19,2020-12-31,2013-12-12,2030-12-31
14541.0,102968.0,1925-12-31,2020-12-31,1996-01-02,2030-12-31
14542.0,203876.0,2014-04-03,2020-12-31,2014-04-03,2030-12-31
14579.0,203998.0,2020-01-28,2020-12-31,2014-04-15,2030-12-31
14593.0,101594.0,1982-11-18,2020-12-31,1996-01-02,2030-12-31
14601.0,204016.0,2014-05-01,2018-06-04,2014-05-01,2030-12-31
14656.0,110627.0,1969-03-06,2012-10-04,1996-01-01,2012-10-04
14702.0,101610.0,1995-03-16,2020-12-31,1996-01-01,2030-12-31
14704.0,204478.0,2017-06-02,2020-12-31,2014-06-19,2030-12-31
14714.0,204392.0,2018-08-28,2020-12-31,2014-06-06,2030-12-31
14736.0,110967.0,1925-12-31,2001-10-09,1996-01-02,2001-10-09
14763.0,204869.0,2020-09-21,2020-12-31,2014-07-31,2030-12-31
14776.0,205036.0,2015-11-18,2020-12-31,2014-07-31,2030-12-31
14795.0,111054.0,1964-02-20,2001-08-06,1996-01-02,2030-12-31
14883.0,5963.0,1957-03-01,1999-04-30,1996-01-01,1999-04-30
14889.0,205457.0,2016-02-01,2020-12-31,2014-09-24,2030-12-31
14891.0,111501.0,1957-03-01,2005-08-10,1996-01-02,2005-08-10
14939.0,205640.0,2018-11-06,2020-12-31,2014-11-03,2030-12-31
15069.0,111296.0,1925-12-31,2020-12-31,1996-01-02,2030-12-31
15077.0,111298.0,1987-04-09,2009-01-05,1996-01-02,2009-01-05
15202.0,111822.0,1999-07-01,2020-12-31,1996-01-02,2030-12-31
15291.0,207039.0,2020-09-21,2020-12-31,2015-04-16,2030-12-31
15368.0,6029.0,1950-07-03,2000-05-04,1996-01-01,2000-05-03
15401.0,207402.0,2015-07-01,2016-06-02,2015-07-01,2016-06-02
15404.0,207409.0,2015-07-02,2016-07-05,2015-07-02,2016-06-30
15408.0,207608.0,2015-07-06,2020-12-31,2015-07-06,2030-12-31
15456.0,111652.0,1925-12-31,1998-12-31,1996-01-01,2030-12-31
15456.0,111652.0,2016-04-04,2019-08-08,1996-01-01,2030-12-31
15472.0,112142.0,1957-03-01,2008-10-06,1996-01-02,2008-10-06
